epsilon,OOS_SAA,OOS_DRO,pct_gain
0.0001,-0.008177777966513785,-0.008177777787642072,-2.1872899131404105e-06
0.0001438449888287663,-0.008177777966513785,-0.008177777782619381,-2.2487086826073054e-06
0.00020691380811147902,-0.008177777966513785,-0.008177777805548715,-1.968322814064666e-06
0.00029763514416313193,-0.008177777966513785,-0.008177777896449375,-8.567658528085935e-07
0.00042813323987193956,-0.008177777966513785,-0.008209291880512778,0.3853603525069497
0.0006158482110660267,-0.008177777966513785,-0.008363333013421598,2.269015466886244
0.0008858667904100823,-0.008177777966513785,-0.008462428760551881,3.4807840858932515
0.0012742749857031334,-0.008177777966513785,-0.00898869581185688,9.916114727785798
0.0018329807108324356,-0.008177777966513785,-0.009415127249536042,15.13062947036386
0.0026366508987303583,-0.008177777966513785,-0.009830872048880092,20.21446521457744
0.00379269019073225,-0.008177777966513785,-0.010048543376627271,22.87620693266389
0.005455594781168515,-0.008177777966513785,-0.010230934223251519,25.106529733932135
0.007847599703514606,-0.008177777966513785,-0.010165794688418031,24.30998652744965
0.011288378916846883,-0.008177777966513785,-0.010126394760187028,23.82819393791815
0.01623776739188721,-0.008177777966513785,-0.010101405144861117,23.522614409735333
0.023357214690901212,-0.008177777966513785,-0.010084756307747696,23.319028091036113
0.03359818286283781,-0.008177777966513785,-0.01007338301140487,23.179952459618914
0.04832930238571752,-0.008177777966513785,-0.01006556303467518,23.084327746381277
0.06951927961775606,-0.008177777966513785,-0.010060137513123093,23.017983055020075
0.1,-0.008177777966513785,-0.010056397415788641,22.97224817019236
