epsilon,J_SAA,J_DRO,OOS_SAA,OOS_DRO
0.0001,-0.011202777660102822,-0.011102774459899723,-0.008177777966513783,-0.00817778277227185
0.0001438449888287663,-0.011202777660102822,-0.011058930327961295,-0.008177777966513783,-0.008177781895426967
0.00020691380811147902,-0.011202777660102822,-0.010995859294762432,-0.008177777966513783,-0.008177787434458822
0.00029763514416313193,-0.011202777660102822,-0.010905141077331513,-0.008177777966513783,-0.008177782109506204
0.00042813323987193956,-0.011202777660102822,-0.010775010380746856,-0.008177777966513783,-0.008209327914327526
0.0006158482110660267,-0.011202777660102822,-0.010613561057599908,-0.008177777966513783,-0.008363158778145129
0.0008858667904100823,-0.011202777660102822,-0.010405875425575924,-0.008177777966513783,-0.008464112568254828
0.0012742749857031334,-0.011202777660102822,-0.010142349387540304,-0.008177777966513783,-0.008988464243041734
0.0018329807108324356,-0.011202777660102822,-0.009818151081625788,-0.008177777966513783,-0.009415144921982758
0.0026366508987303583,-0.011202777660102822,-0.009414993423116903,-0.008177777966513783,-0.009831043698108182
0.00379269019073225,-0.011202777660102822,-0.00891067836670345,-0.008177777966513783,-0.010049032871550042
0.005455594781168515,-0.011202777660102822,-0.008258481825060386,-0.008177777966513783,-0.010229987370581778
0.007847599703514606,-0.011202777660102822,-0.007405250592838428,-0.008177777966513783,-0.010166068184679062
0.011288378916846883,-0.011202777660102822,-0.006256455238423912,-0.008177777966513783,-0.010126625763322647
0.01623776739188721,-0.011202777660102822,-0.00465096641487325,-0.008177777966513783,-0.010101404844239575
0.023357214690901212,-0.011202777660102822,-0.0023721239532674123,-0.008177777966513783,-0.010084708569305085
0.03359818286283781,-0.011202777660102822,0.0008852675849381694,-0.008177777966513783,-0.010073358231824293
0.04832930238571752,-0.011202777660102822,0.005556742812381735,-0.008177777966513783,-0.01006554942681143
0.06951927961775606,-0.011202777660102822,0.012266679303862476,-0.008177777966513783,-0.010060072282317787
0.1,-0.011202777660102822,0.021911832089338876,-0.008177777966513783,-0.010056376653778598
